stock_id,company_name,market,industry,security_type,listed_date,isin,quote_date,close,change,volume_shares,valuation_date,pe_ratio,pb_ratio,dividend_yield_pct,chip_date,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,has_price_file,price_file
2706,第一店,twse,觀光餐旅,股票,1991/06/25,TW0002706009,1150618,12.5,0.1,147033.0,1150618,18.66,0.61,2.8,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2706.csv
2707,晶華,twse,觀光餐旅,股票,1998/03/09,TW0002707007,1150618,179.0,-1.0,141681.0,1150618,12.79,6.45,6.01,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2707.csv
2712,遠雄來,twse,觀光餐旅,股票,2013/12/03,TW0002712007,1150618,15.2,-0.05,14046.0,1150618,,1.58,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2712.csv
2718,全心投控,twse,建材營造業,股票,2011/03/29,TW0002718004,,,,,,,,,20260618,19000.0,0.0,415.0,19415.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2718.csv
2719,燦星旅,twse,觀光餐旅,股票,2012/02/24,TW0002719002,,,,,,,,,20260618,7000.0,0.0,0.0,7000.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2719.csv
2722,夏都,twse,觀光餐旅,股票,2012/03/14,TW0002722006,1150618,23.3,0.15,23105.0,1150618,,1.39,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2722.csv
2723,美食-KY,twse,觀光餐旅,股票,2010/11/22,KYG4002A1004,1150618,66.9,-0.1,315323.0,1150618,,1.16,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2723.csv
2724,藝舍-KY,twse,其他業,股票,2012/05/29,KYG3704Y1017,,,,,,,,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2724.csv
2726,雅茗-KY,twse,觀光餐旅,股票,2014/12/24,KYG988361021,,,,,,,,,20260618,0.0,0.0,0.0,0.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2726.csv
2727,王品,twse,觀光餐旅,股票,2012/03/06,TW0002727005,1150618,246.5,2.5,430706.0,1150618,14.81,5.33,6.54,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2727.csv
