stock_id,company_name,market,valuation_date,pe_ratio,pb_ratio,dividend_yield_pct,fetched_at
1434,福懋,twse,1150618,28.25,0.63,2.95,2026-06-19T12:10:06
1435,中福,twse,1150618,,2.01,,2026-06-19T12:10:06
1436,華友聯,twse,1150618,11.05,1.69,10.63,2026-06-19T12:10:06
1437,勤益控,twse,1150618,10.67,0.72,3.25,2026-06-19T12:10:06
1438,三地開發,twse,1150618,8.06,0.77,0.9,2026-06-19T12:10:06
1439,雋揚,twse,1150618,8.21,0.78,1.98,2026-06-19T12:10:06
1440,南紡,twse,1150618,,0.8,2.26,2026-06-19T12:10:06
1441,大東,twse,1150618,,1.56,,2026-06-19T12:10:06
1442,名軒,twse,1150618,14.29,1.27,8.57,2026-06-19T12:10:06
1443,立益物流,twse,1150618,25.36,1.65,,2026-06-19T12:10:06
1444,力麗,twse,1150618,,0.72,,2026-06-19T12:10:06
1445,大宇,twse,1150618,,0.69,4.55,2026-06-19T12:10:06
1446,宏和,twse,1150618,9.82,0.81,8.98,2026-06-19T12:10:06
1447,力鵬,twse,1150618,,0.67,,2026-06-19T12:10:06
1449,佳和,twse,1150618,,0.78,,2026-06-19T12:10:06
1451,年興,twse,1150618,18.82,0.45,5.97,2026-06-19T12:10:06
1452,宏益,twse,1150618,,0.56,1.79,2026-06-19T12:10:06
1453,大將,twse,1150618,107.27,0.93,2.54,2026-06-19T12:10:06
1454,台富,twse,1150618,,1.18,0.78,2026-06-19T12:10:06
1455,集盛,twse,1150618,,0.94,1.57,2026-06-19T12:10:06
1456,怡華,twse,1150618,4.49,0.77,,2026-06-19T12:10:06
1457,宜進,twse,1150618,15.71,0.65,6.99,2026-06-19T12:10:06
1459,聯發,twse,1150618,7.61,1.06,1.69,2026-06-19T12:10:06
1460,宏遠,twse,1150618,,0.85,,2026-06-19T12:10:06
1463,強盛新,twse,1150618,,1.16,0.74,2026-06-19T12:10:06
1464,得力,twse,1150618,27.84,0.79,2.43,2026-06-19T12:10:06
1465,偉全,twse,1150618,,0.83,2.4,2026-06-19T12:10:06
1466,聚隆,twse,1150618,,1.01,1.4,2026-06-19T12:10:06
1467,南緯,twse,1150618,,0.59,,2026-06-19T12:10:06
1468,昶和,twse,1150618,100.0,1.32,,2026-06-19T12:10:06
1470,大統新創,twse,1150618,25.98,1.97,2.88,2026-06-19T12:10:06
1471,首利,twse,1150618,,1.14,,2026-06-19T12:10:06
1472,三洋實業,twse,1150618,14.15,2.01,6.59,2026-06-19T12:10:06
1473,台南,twse,1150618,,0.75,2.48,2026-06-19T12:10:06
1474,弘裕,twse,1150618,42.71,0.6,2.44,2026-06-19T12:10:06
1475,業旺,twse,1150618,10.75,1.19,5.47,2026-06-19T12:10:06
1476,儒鴻,twse,1150618,15.82,3.26,4.59,2026-06-19T12:10:06
1477,聚陽,twse,1150618,15.99,4.2,6.77,2026-06-19T12:10:06
1503,士電,twse,1150618,35.99,3.31,2.07,2026-06-19T12:10:06
1504,東元,twse,1150618,31.11,1.95,2.86,2026-06-19T12:10:06
1506,正道,twse,1150618,147.14,1.11,,2026-06-19T12:10:06
1512,瑞利,twse,1150618,26.85,1.06,,2026-06-19T12:10:06
1513,中興電,twse,1150618,21.45,4.05,3.4,2026-06-19T12:10:06
1514,亞力,twse,1150618,35.42,5.03,1.81,2026-06-19T12:10:06
1515,力山,twse,1150618,26.43,1.21,2.32,2026-06-19T12:10:06
1516,川飛,twse,1150618,1025.0,4.01,,2026-06-19T12:10:06
1517,利奇,twse,1150618,,0.68,1.9,2026-06-19T12:10:06
1519,華城,twse,1150618,57.25,31.94,1.44,2026-06-19T12:10:06
1521,大億,twse,1150618,37.46,1.1,2.82,2026-06-19T12:10:06
1522,堤維西,twse,1150618,103.55,1.09,3.74,2026-06-19T12:10:06
1524,耿鼎,twse,1150618,19.97,1.72,4.67,2026-06-19T12:10:06
1525,江申,twse,1150618,41.25,0.95,4.24,2026-06-19T12:10:06
1526,日馳,twse,1150618,,0.65,,2026-06-19T12:10:06
1527,鑽全,twse,1150618,36.59,0.94,4.5,2026-06-19T12:10:06
1528,恩德,twse,1150618,,2.26,,2026-06-19T12:10:06
1529,樂事綠能,twse,1150618,20.09,1.93,4.37,2026-06-19T12:10:06
1530,亞崴,twse,1150618,26.57,0.89,3.27,2026-06-19T12:10:06
1531,高林股,twse,1150618,,0.64,7.75,2026-06-19T12:10:06
1532,勤美,twse,1150618,20.51,0.67,3.33,2026-06-19T12:10:06
1533,車王電,twse,1150618,23.44,1.57,,2026-06-19T12:10:06
1535,中宇,twse,1150618,12.96,1.57,5.95,2026-06-19T12:10:06
1536,和大,twse,1150618,,1.81,,2026-06-19T12:10:06
1537,廣隆,twse,1150618,16.78,2.27,5.65,2026-06-19T12:10:06
1538,正峰,twse,1150618,,3.03,,2026-06-19T12:10:06
1539,巨庭,twse,1150618,392.5,0.64,5.41,2026-06-19T12:10:06
1540,喬福,twse,1150618,23.55,1.24,4.57,2026-06-19T12:10:06
1541,錩泰,twse,1150618,9.69,0.8,2.27,2026-06-19T12:10:06
1558,伸興,twse,1150618,16.28,1.11,5.46,2026-06-19T12:10:06
1560,中砂,twse,1150618,69.03,12.66,0.71,2026-06-19T12:10:06
1563,巧新,twse,1150618,153.86,1.79,2.95,2026-06-19T12:10:06
1565,精華,tpex,1150618,13.45,0.75,6.18,2026-06-19T12:10:06
1568,倉佑,twse,1150618,34.37,2.57,2.17,2026-06-19T12:10:06
1569,濱川,tpex,1150618,,2.27,0.0,2026-06-19T12:10:06
1570,力肯,tpex,1150618,107.44,2.08,2.39,2026-06-19T12:10:06
1580,新麥,tpex,1150618,9.84,2.04,6.85,2026-06-19T12:10:06
1582,信錦,twse,1150618,34.11,1.8,3.2,2026-06-19T12:10:06
1583,程泰,twse,1150618,18.03,0.96,1.99,2026-06-19T12:10:06
1584,精剛,tpex,1150618,75.58,0.94,1.31,2026-06-19T12:10:06
1586,和勤,tpex,1150618,177.5,1.09,0.0,2026-06-19T12:10:06
1587,吉茂,twse,1150618,68.41,1.4,,2026-06-19T12:10:06
1590,亞德客-KY,twse,1150618,30.21,5.43,2.11,2026-06-19T12:10:06
1593,祺驊,tpex,1150618,13.01,0.94,6.57,2026-06-19T12:10:06
1595,川寶,tpex,1150618,,1.55,0.65,2026-06-19T12:10:06
1597,直得,twse,1150618,132.77,5.76,0.44,2026-06-19T12:10:06
1598,岱宇,twse,1150618,,0.8,2.48,2026-06-19T12:10:06
1599,宏佳騰,tpex,1150618,,0.91,2.14,2026-06-19T12:10:06
1603,華電,twse,1150618,11.78,0.67,6.31,2026-06-19T12:10:06
1604,聲寶,twse,1150618,14.03,0.99,6.48,2026-06-19T12:10:06
1605,華新,twse,1150618,28.47,1.05,1.28,2026-06-19T12:10:06
1608,華榮,twse,1150618,6.29,1.51,5.77,2026-06-19T12:10:06
1609,大亞,twse,1150618,15.96,1.71,1.83,2026-06-19T12:10:06
1611,中電,twse,1150618,325.0,1.07,6.15,2026-06-19T12:10:06
1612,宏泰,twse,1150618,12.77,1.49,6.53,2026-06-19T12:10:06
1614,三洋電,twse,1150618,24.17,1.48,3.04,2026-06-19T12:10:06
1615,大山,twse,1150618,9.54,1.82,5.75,2026-06-19T12:10:06
1616,億泰,twse,1150618,18.01,1.85,6.14,2026-06-19T12:10:06
1617,榮星,twse,1150618,18.41,1.2,3.7,2026-06-19T12:10:06
1618,合機,twse,1150618,9.19,1.25,4.07,2026-06-19T12:10:06
1623,大東電,twse,1150618,17.77,3.63,3.64,2026-06-19T12:10:06
1626,艾美特-KY,twse,1150618,,0.55,,2026-06-19T12:10:06
1702,南僑,twse,1150618,44.17,0.66,5.03,2026-06-19T12:10:06
1707,葡萄王,twse,1150618,12.46,1.48,6.02,2026-06-19T12:10:06
1708,東鹼,twse,1150618,14.93,1.69,3.18,2026-06-19T12:10:06
1709,和益,twse,1150618,15.29,1.16,4.71,2026-06-19T12:10:06
1710,東聯,twse,1150618,,1.09,,2026-06-19T12:10:06
1711,永光,twse,1150618,,3.01,,2026-06-19T12:10:06
1712,興農,twse,1150618,15.85,2.11,6.36,2026-06-19T12:10:06
1713,國化,twse,1150618,11.16,1.87,6.2,2026-06-19T12:10:06
1714,和桐,twse,1150618,31.8,1.57,0.88,2026-06-19T12:10:06
1717,長興,twse,1150618,48.92,2.95,1.38,2026-06-19T12:10:06
1718,中纖,twse,1150618,41.08,0.59,,2026-06-19T12:10:06
1720,生達,twse,1150618,11.65,1.86,4.77,2026-06-19T12:10:06
1721,三晃,twse,1150618,,2.74,,2026-06-19T12:10:06
1722,台肥,twse,1150618,46.3,0.86,4.15,2026-06-19T12:10:06
1723,中碳,twse,1150618,35.08,2.51,2.13,2026-06-19T12:10:06
1725,元禎,twse,1150618,23.12,1.01,2.86,2026-06-19T12:10:06
1726,永記,twse,1150618,13.22,1.17,4.72,2026-06-19T12:10:06
1727,中華化,twse,1150618,254.32,5.71,0.16,2026-06-19T12:10:06
1730,花仙子,twse,1150618,11.45,1.56,5.66,2026-06-19T12:10:06
1731,美吾華,twse,1150618,15.57,1.3,5.6,2026-06-19T12:10:06
1732,毛寶,twse,1150618,29.22,2.26,2.28,2026-06-19T12:10:06
1733,五鼎,twse,1150618,16.1,1.61,4.44,2026-06-19T12:10:06
1734,杏輝,twse,1150618,18.55,1.72,5.02,2026-06-19T12:10:06
1735,日勝化,twse,1150618,28.58,1.45,2.81,2026-06-19T12:10:06
1736,喬山,twse,1150618,14.52,2.57,3.77,2026-06-19T12:10:06
1737,臺鹽,twse,1150618,15.98,0.92,4.4,2026-06-19T12:10:06
1742,台蠟,tpex,1150618,,1.13,0.0,2026-06-19T12:10:06
1752,南光,twse,1150618,16.16,1.41,4.88,2026-06-19T12:10:06
1760,寶齡富錦,twse,1150618,24.06,2.8,3.34,2026-06-19T12:10:06
1762,中化生,twse,1150618,,0.86,,2026-06-19T12:10:06
1773,勝一,twse,1150618,24.83,4.55,2.22,2026-06-19T12:10:06
1776,展宇,twse,1150618,38.27,1.31,3.2,2026-06-19T12:10:06
1777,生泰,tpex,1150618,12.55,1.3,5.52,2026-06-19T12:10:06
1780,立弘,tpex,1150618,24.28,2.04,4.64,2026-06-19T12:10:06
1781,合世,tpex,1150618,,1.83,0.0,2026-06-19T12:10:06
1783,和康生,twse,1150618,12.83,2.14,5.16,2026-06-19T12:10:06
1784,訊聯,tpex,1150618,72.83,2.72,1.3,2026-06-19T12:10:06
1785,光洋科,tpex,1150618,29.39,5.34,1.34,2026-06-19T12:10:06
1786,科妍,twse,1150618,31.47,2.15,3.57,2026-06-19T12:10:06
1788,杏昌,tpex,1150618,15.02,1.85,5.34,2026-06-19T12:10:06
1789,神隆,twse,1150618,146.79,1.58,1.41,2026-06-19T12:10:06
1795,美時,twse,1150618,13.17,2.11,1.39,2026-06-19T12:10:06
1796,金穎生技,tpex,1150618,89.47,1.8,2.06,2026-06-19T12:10:06
1799,易威,tpex,1150618,,5.32,0.0,2026-06-19T12:10:06
1802,台玻,twse,1150618,548.46,4.17,,2026-06-19T12:10:06
1805,寶徠,twse,1150618,79.62,0.85,,2026-06-19T12:10:06
1806,冠軍,twse,1150618,58.71,0.61,1.82,2026-06-19T12:10:06
1808,潤隆,twse,1150618,12.03,2.1,4.65,2026-06-19T12:10:06
1809,中釉,twse,1150618,270.53,2.9,0.49,2026-06-19T12:10:06
1810,和成,twse,1150618,5.26,0.75,1.01,2026-06-19T12:10:06
1813,寶利徠,tpex,1150618,,0.8,0.0,2026-06-19T12:10:06
1815,富喬,tpex,1150618,50.31,4.35,1.02,2026-06-19T12:10:06
1817,凱撒衛,twse,1150618,9.69,1.25,5.42,2026-06-19T12:10:06
1903,士紙,twse,1150618,37.29,2.3,,2026-06-19T12:10:06
1904,正隆,twse,1150618,18.93,0.86,1.95,2026-06-19T12:10:06
1905,華紙,twse,1150618,,1.16,,2026-06-19T12:10:06
1906,寶隆,twse,1150618,,0.56,,2026-06-19T12:10:06
1907,永豐餘,twse,1150618,20.14,0.6,3.55,2026-06-19T12:10:06
1909,榮成,twse,1150618,,0.64,,2026-06-19T12:10:06
2002,中鋼,twse,1150618,,0.98,0.79,2026-06-19T12:10:06
2006,東和鋼鐵,twse,1150618,10.48,1.56,6.19,2026-06-19T12:10:06
2007,燁興,twse,1150618,,0.98,,2026-06-19T12:10:06
2008,高興昌,twse,1150618,41.07,1.56,3.25,2026-06-19T12:10:06
2009,第一銅,twse,1150618,69.3,1.71,1.01,2026-06-19T12:10:06
2010,春源,twse,1150618,10.67,1.33,8.05,2026-06-19T12:10:06
2012,春雨,twse,1150618,,1.07,2.05,2026-06-19T12:10:06
2013,中鋼構,twse,1150618,13.28,1.47,5.59,2026-06-19T12:10:06
2014,中鴻,twse,1150618,,2.12,,2026-06-19T12:10:06
2015,豐興,twse,1150618,15.29,1.67,5.44,2026-06-19T12:10:06
2017,官田鋼,twse,1150618,,0.76,,2026-06-19T12:10:06
2020,美亞,twse,1150618,11.21,1.42,8.28,2026-06-19T12:10:06
2022,聚亨,twse,1150618,,0.77,,2026-06-19T12:10:06
2023,燁輝,twse,1150618,,0.81,,2026-06-19T12:10:06
2024,志聯,twse,1150618,201.43,1.22,,2026-06-19T12:10:06
2025,千興,twse,1150618,88.13,1.47,,2026-06-19T12:10:06
2027,大成鋼,twse,1150618,11.99,1.22,3.66,2026-06-19T12:10:06
2028,威致,twse,1150618,47.43,1.13,1.2,2026-06-19T12:10:06
2029,盛餘,twse,1150618,33.23,0.66,2.91,2026-06-19T12:10:06
2030,彰源,twse,1150618,28.11,1.02,2.7,2026-06-19T12:10:06
2031,新光鋼,twse,1150618,8.54,1.19,6.4,2026-06-19T12:10:06
2032,新鋼,twse,1150618,20.47,1.31,2.84,2026-06-19T12:10:06
2033,佳大,twse,1150618,47.73,1.19,1.27,2026-06-19T12:10:06
2034,允強,twse,1150618,,1.15,4.8,2026-06-19T12:10:06
2035,唐榮,tpex,1150618,,4.13,0.0,2026-06-19T12:10:06
2038,海光,twse,1150618,,0.7,1.44,2026-06-19T12:10:06
2049,上銀,twse,1150618,72.98,3.16,0.6,2026-06-19T12:10:06
2059,川湖,twse,1150618,60.51,20.75,0.74,2026-06-19T12:10:06
2061,風青,tpex,1150618,,4.77,0.0,2026-06-19T12:10:06
2062,橋椿,twse,1150618,90.48,0.5,5.26,2026-06-19T12:10:06
2063,世鎧,tpex,1150618,16.52,1.29,6.01,2026-06-19T12:10:06
2064,晉椿,tpex,1150618,,1.0,0.0,2026-06-19T12:10:06
2065,世豐,tpex,1150618,28.28,1.25,4.35,2026-06-19T12:10:06
2066,世德,tpex,1150618,51.76,1.3,3.32,2026-06-19T12:10:06
2067,嘉鋼,tpex,1150618,,1.29,0.0,2026-06-19T12:10:06
2069,運錩,twse,1150618,10.22,0.72,5.32,2026-06-19T12:10:06
2070,精湛,tpex,1150618,37.07,2.5,2.2,2026-06-19T12:10:06
2072,世紀風電,twse,1150618,13.31,1.43,4.07,2026-06-19T12:10:06
2073,雄順,tpex,1150618,,1.73,1.18,2026-06-19T12:10:06
2101,南港,twse,1150618,10.47,1.74,2.16,2026-06-19T12:10:06
2102,泰豐,twse,1150618,2.84,0.87,,2026-06-19T12:10:06
2103,台橡,twse,1150618,31.94,0.86,1.26,2026-06-19T12:10:06
2104,國際中橡,twse,1150618,,0.43,,2026-06-19T12:10:06
2105,正新,twse,1150618,18.3,1.13,6.07,2026-06-19T12:10:06
2106,建大,twse,1150618,105.0,0.87,3.64,2026-06-19T12:10:06
2107,厚生,twse,1150618,17.64,0.58,5.51,2026-06-19T12:10:06
2108,南帝,twse,1150618,32.99,0.99,3.48,2026-06-19T12:10:06
2109,華豐,twse,1150618,12.21,1.18,6.83,2026-06-19T12:10:06
2114,鑫永銓,twse,1150618,15.48,2.11,5.62,2026-06-19T12:10:06
2115,六暉-KY,twse,1150618,16.22,0.64,7.28,2026-06-19T12:10:06
2201,裕隆,twse,1150618,33.06,0.46,1.99,2026-06-19T12:10:06
2204,中華,twse,1150618,10.2,0.83,6.51,2026-06-19T12:10:06
2206,三陽工業,twse,1150618,10.86,1.74,4.87,2026-06-19T12:10:06
2207,和泰車,twse,1150618,14.12,3.39,4.15,2026-06-19T12:10:06
2208,台船,twse,1150618,,3.09,,2026-06-19T12:10:06
2211,長榮鋼,twse,1150618,11.67,1.46,6.81,2026-06-19T12:10:06
2221,大甲,tpex,1150618,20.45,1.85,3.12,2026-06-19T12:10:06
2227,裕日車,twse,1150618,53.01,0.8,1.7,2026-06-19T12:10:06
2228,劍麟,twse,1150618,20.84,1.36,5.06,2026-06-19T12:10:06
2230,泰茂,tpex,1150618,,1.67,2.25,2026-06-19T12:10:06
2231,為升,twse,1150618,,3.67,0.54,2026-06-19T12:10:06
2233,宇隆,twse,1150618,48.72,4.61,1.31,2026-06-19T12:10:06
2235,謚源,tpex,1150618,42.86,0.87,5.0,2026-06-19T12:10:06
2236,百達-KY,twse,1150618,,3.63,0.48,2026-06-19T12:10:06
2239,英利-KY,twse,1150618,,0.23,,2026-06-19T12:10:06
2241,艾姆勒,twse,1150618,,3.97,,2026-06-19T12:10:06
2243,宏旭-KY,twse,1150618,20.76,4.04,,2026-06-19T12:10:06
2247,汎德永業,twse,1150618,14.99,1.55,6.09,2026-06-19T12:10:06
2248,華勝-KY,twse,1150618,9.51,1.5,5.52,2026-06-19T12:10:06
2250,IKKA-KY,twse,1150618,18.31,1.05,4.86,2026-06-19T12:10:06
2254,巨鎧精密-創,twse,1150618,,3.83,,2026-06-19T12:10:06
2258,鴻華先進-創,twse,1150618,,4.62,,2026-06-19T12:10:06
2301,光寶科,twse,1150618,30.96,5.42,2.38,2026-06-19T12:10:06
2302,麗正,twse,1150618,59.49,4.38,0.74,2026-06-19T12:10:06
2303,聯電,twse,1150618,36.56,4.5,1.79,2026-06-19T12:10:06
2305,全友,twse,1150618,124.63,2.9,,2026-06-19T12:10:06
2308,台達電,twse,1150618,79.28,18.64,0.54,2026-06-19T12:10:06
2312,金寶,twse,1150618,34.13,2.38,1.69,2026-06-19T12:10:06
2313,華通,twse,1150618,45.77,6.6,1.08,2026-06-19T12:10:06
2314,台揚,twse,1150618,,28.21,,2026-06-19T12:10:06
2316,楠梓電,twse,1150618,13.31,2.71,0.97,2026-06-19T12:10:06
2317,鴻海,twse,1150618,19.07,2.11,2.68,2026-06-19T12:10:06
2321,東訊,twse,1150618,,2.42,,2026-06-19T12:10:06
2323,中環,twse,1150618,5.39,0.68,1.7,2026-06-19T12:10:06
2324,仁寶,twse,1150618,28.38,1.26,2.91,2026-06-19T12:10:06
2327,國巨*,twse,1150618,85.04,13.31,0.56,2026-06-19T12:10:06
2328,廣宇,twse,1150618,54.49,1.84,1.69,2026-06-19T12:10:06
2329,華泰,twse,1150618,25.16,3.2,1.8,2026-06-19T12:10:06
2330,台積電,twse,1150618,32.4,10.61,0.91,2026-06-19T12:10:06
2331,精英,twse,1150618,44.8,1.15,,2026-06-19T12:10:06
2332,友訊,twse,1150618,,1.45,,2026-06-19T12:10:06
2337,旺宏,twse,1150618,,6.61,,2026-06-19T12:10:06
2338,光罩,twse,1150618,,2.88,,2026-06-19T12:10:06
2340,台亞,twse,1150618,,2.76,,2026-06-19T12:10:06
2342,茂矽,twse,1150618,,3.75,,2026-06-19T12:10:06
2344,華邦電,twse,1150618,64.84,8.43,0.23,2026-06-19T12:10:06
2345,智邦,twse,1150618,46.05,20.84,0.62,2026-06-19T12:10:06
2347,聯強,twse,1150618,16.24,1.98,4.5,2026-06-19T12:10:06
2348,海悅,twse,1150618,18.51,1.67,7.16,2026-06-19T12:10:06
2349,錸德,twse,1150618,,1.76,,2026-06-19T12:10:06
2351,順德,twse,1150618,86.28,4.9,0.56,2026-06-19T12:10:06
2352,佳世達,twse,1150618,49.76,1.66,3.24,2026-06-19T12:10:06
2353,宏碁,twse,1150618,26.06,1.42,3.78,2026-06-19T12:10:06
2354,鴻準,twse,1150618,27.44,0.77,2.59,2026-06-19T12:10:06
2355,敬鵬,twse,1150618,34.26,1.3,1.73,2026-06-19T12:10:06
2356,英業達,twse,1150618,25.74,3.31,2.95,2026-06-19T12:10:06
2357,華碩,twse,1150618,14.1,2.04,5.32,2026-06-19T12:10:06
2359,所羅門,twse,1150618,69.07,4.0,0.75,2026-06-19T12:10:06
2360,致茂,twse,1150618,72.85,35.28,0.84,2026-06-19T12:10:06
2362,藍天,twse,1150618,21.23,0.62,4.21,2026-06-19T12:10:06
2363,矽統,twse,1150618,37.0,1.59,0.95,2026-06-19T12:10:06
2364,倫飛,twse,1150618,17.37,4.55,4.42,2026-06-19T12:10:06
2365,昆盈,twse,1150618,87.31,2.43,0.88,2026-06-19T12:10:06
2367,燿華,twse,1150618,,3.41,0.33,2026-06-19T12:10:06
2368,金像電,twse,1150618,61.17,19.87,0.72,2026-06-19T12:10:06
2369,菱生,twse,1150618,,2.85,,2026-06-19T12:10:06
2371,大同,twse,1150618,,1.25,,2026-06-19T12:10:06
2373,震旦行,twse,1150618,14.87,1.85,6.38,2026-06-19T12:10:06
2374,佳能,twse,1150618,27.09,2.84,2.66,2026-06-19T12:10:06
2375,凱美,twse,1150618,66.57,2.38,0.55,2026-06-19T12:10:06
2376,技嘉,twse,1150618,16.07,3.57,3.49,2026-06-19T12:10:06
2377,微星,twse,1150618,14.47,2.13,3.03,2026-06-19T12:10:06
2379,瑞昱,twse,1150618,29.48,9.34,3.05,2026-06-19T12:10:06
2382,廣達,twse,1150618,18.9,6.98,4.15,2026-06-19T12:10:06
2383,台光電,twse,1150618,121.48,41.85,0.45,2026-06-19T12:10:06
2385,群光,twse,1150618,12.87,2.01,6.32,2026-06-19T12:10:06
2387,精元,twse,1150618,13.86,0.74,10.13,2026-06-19T12:10:06
2388,威盛,twse,1150618,452.22,2.07,0.06,2026-06-19T12:10:06
2390,云辰,twse,1150618,,0.98,,2026-06-19T12:10:06
2392,正崴,twse,1150618,,0.83,2.52,2026-06-19T12:10:06
2393,億光,twse,1150618,16.85,1.52,6.37,2026-06-19T12:10:06
2395,研華,twse,1150618,38.32,8.65,2.27,2026-06-19T12:10:06
2397,友通,twse,1150618,26.21,2.16,4.03,2026-06-19T12:10:06
2399,映泰,twse,1150618,30.8,3.47,,2026-06-19T12:10:06
2401,凌陽,twse,1150618,,2.31,,2026-06-19T12:10:06
