stock_id,company_name,revenue_month,announcement_date,buy_date,mom_positive,yoy_positive,mom_gt_10,mom_gt_20,yoy_gt_20,yoy_gt_30,inst_buy_positive,inst_buy_gt_100k,inst_buy_gt_300k,inst_buy_gt_500k,foreign_buy_positive,foreign_buy_gt_100k,foreign_buy_gt_300k,trust_buy_positive,trust_buy_gt_50k,dealer_buy_positive,avg_volume_5d_gt_100k,avg_volume_5d_gt_300k,avg_volume_5d_gt_1m,prev_vol_ratio_gt_1,prev_vol_ratio_gt_1_5,day1_return_gt_3,day3_return_gt_5,day5_return_gt_10,max_close_10d_gt_20,breakout_20d,breakout_60d,breakout_120d,breakout_240d,return_pct,mom_pct,yoy_pct,institutional_total_net_buy_shares,avg_volume_5d,previous_volume_ratio_20d,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,day1_return_pct,day3_return_pct,day5_return_pct,max_close_10d_return_pct,exit_date
7722,LINEPAY,2026-01,2026-02-10,2026-06-01,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.244782,0.0026,0.15439999999999998,27136.0,,,26133.0,0.0,1003.0,0.026565464895635674,0.05502846299810247,0.1062618595825427,0.4060721062618596,2026-06-18
7721,微程式,2026-02,2026-03-10,2026-06-01,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.013495,0.25989999999999996,0.302,-37000.0,,,-36000.0,0.0,-1000.0,0.02159244264507434,0.028340080971660037,0.03508771929824573,0.11066126855600544,2026-06-18
6534,正瀚-創,2026-02,2026-03-10,2026-03-11,True,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,0.038415,0.2443,0.0207,166871.0,336539.8,1.9295141774463191,169000.0,0.0,-2129.0,-0.00840336134453785,-0.030012004801920768,-0.006002400960384154,0.12124849939976001,2026-03-31
6955,邦睿生技-創,2026-02,2026-03-10,2026-06-01,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.086207,0.0199,0.1304,-3000.0,,,-1000.0,0.0,-2000.0,0.006896551724137931,0.006896551724137931,-0.010344827586206896,0.006896551724137931,2026-06-18
8487,愛爾達-創,2026-03,2026-04-10,2026-06-01,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.043796,2.6861,1.6627,25000.0,,,16000.0,0.0,9000.0,-0.04501216545012169,-0.03406326034063257,-0.04136253041362537,0.010948905109488948,2026-06-18
4195,基米-創,2026-03,2026-04-10,2026-06-01,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.05136,0.9187000000000001,0.3085,,,,,,,0.018126888217522702,0.027190332326283945,-0.0030211480362538194,0.027190332326283945,2026-06-18
1905,華紙,2026-03,2026-04-10,2026-06-01,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.430962,0.818,0.042800000000000005,-293500.0,,,-287500.0,0.0,-6000.0,0.025104602510460313,0.17154811715481177,0.06276150627615062,0.17154811715481177,2026-06-18
1568,倉佑,2026-03,2026-04-10,2026-06-01,True,True,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.009677,0.6436,0.2704,119000.0,,,120000.0,0.0,-1000.0,0.04086021505376341,-0.031182795698924792,-0.1516129032258064,0.07096774193548382,2026-06-18
8162,微矽電子-創,2026-03,2026-04-10,2026-06-01,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.055182,0.4052,0.0229,-189252.0,,,-193000.0,0.0,3748.0,0.08748317631224765,0.02018842530282638,-0.10497981157469714,0.08748317631224765,2026-06-18
8464,億豐,2026-03,2026-04-10,2026-06-01,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.115265,0.4028,0.09050000000000001,142657.0,,,140750.0,907.0,1000.0,0.003115264797507788,0.03271028037383177,0.020249221183800622,0.08566978193146417,2026-06-18
