event_id,revenue_month,announcement_date,announcement_time,market,stock_id,company_name,current_month_revenue,previous_month_revenue,previous_year_month_revenue,mom_pct,yoy_pct,cumulative_revenue,previous_year_cumulative_revenue,cumulative_yoy_pct,note,source_url
revenue_202604_2615,2026-04,2026-05-10,after_close,listed,2615,萬海,12930770.0,10522352.0,11438066.0,0.2288,0.1305,46571635.0,48528261.0,-0.0403,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2617,2026-04,2026-05-10,after_close,listed,2617,台航,388517.0,406479.0,356064.0,-0.0441,0.0911,1472102.0,1380784.0,0.0661,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2618,2026-04,2026-05-10,after_close,listed,2618,長榮航,21968792.0,21587609.0,18478245.0,0.0176,0.1889,82484637.0,73422403.0,0.1234,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2630,2026-04,2026-05-10,after_close,listed,2630,亞航,310148.0,466236.0,402173.0,-0.3347,-0.2288,1406287.0,1660956.0,-0.1533,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2633,2026-04,2026-05-10,after_close,listed,2633,台灣高鐵,4798429.0,4795095.0,4516131.0,0.0006,0.0625,18688988.0,17889765.0,0.0446,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2634,2026-04,2026-05-10,after_close,listed,2634,漢翔,2899371.0,2723620.0,2582823.0,0.0645,0.1225,10486461.0,10121643.0,0.036000000000000004,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2636,2026-04,2026-05-10,after_close,listed,2636,台驊控股,1889049.0,1659275.0,1710129.0,0.1384,0.10460000000000001,6736094.0,7280984.0,-0.0748,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2637,2026-04,2026-05-10,after_close,listed,2637,慧洋-KY,1645848.0,1723874.0,1357569.0,-0.0452,0.21230000000000002,5983738.0,4868345.0,0.2291,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2642,2026-04,2026-05-10,after_close,listed,2642,宅配通,256565.0,262367.0,309164.0,-0.022099999999999998,-0.17010000000000003,1073301.0,1284664.0,-0.16449999999999998,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2645,2026-04,2026-05-10,after_close,listed,2645,長榮航太,1708805.0,1697939.0,1529145.0,0.0063,0.1174,6448113.0,5718797.0,0.1275,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2646,2026-04,2026-05-10,after_close,listed,2646,星宇航空,4680260.0,4727439.0,3596742.0,-0.009899999999999999,0.3012,18440057.0,14791581.0,0.2466,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_5607,2026-04,2026-05-10,after_close,listed,5607,遠雄港,434938.0,433641.0,321875.0,0.0029,0.35119999999999996,1648965.0,1216717.0,0.3552,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
