event_id,revenue_month,announcement_date,announcement_time,buy_date,buy_price,market,stock_id,company_name,current_month_revenue,mom_pct,yoy_pct,cumulative_yoy_pct,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,avg_volume_5d,avg_volume_20d,previous_volume,previous_volume_ratio_20d,breakout_20d,breakout_60d,breakout_120d,breakout_240d,eps_quality_score,price_file
revenue_202604_6542,2026-04,2026-05-10,after_close,2026-05-11,46.15,otc,6542,隆中,80843.0,-0.1051,0.1444,0.19519999999999998,2000.0,0.0,1000.0,3000.0,32000.0,20300.0,68000.0,3.3497536945812807,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6542.csv
revenue_202604_6596,2026-04,2026-05-10,after_close,2026-05-11,102.0,otc,6596,寬宏藝術,270939.0,0.8905,17.048099999999998,0.8294,-28000.0,0.0,524.0,-27476.0,256800.0,324650.0,199000.0,0.6129678114892961,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6596.csv
revenue_202604_6856,2026-04,2026-05-10,after_close,2026-05-11,51.0,otc,6856,鑫傳,63675.0,0.1955,0.0,0.0187,,,,,1800.0,2150.0,2000.0,0.9302325581395349,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6856.csv
revenue_202604_7584,2026-04,2026-05-10,after_close,2026-05-11,33.25,otc,7584,樂意,69713.0,0.11869999999999999,-0.0784,-0.2353,-2000.0,0.0,0.0,-2000.0,20200.0,25800.0,9000.0,0.3488372093023256,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\7584.csv
revenue_202604_8446,2026-04,2026-05-10,after_close,2026-05-11,83.7,otc,8446,華研,108419.0,0.4598,0.025,-0.018500000000000003,25000.0,0.0,-53.0,24947.0,221000.0,221000.0,207000.0,0.9366515837104072,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\8446.csv
revenue_202604_8450,2026-04,2026-05-10,after_close,2026-05-11,16.4,otc,8450,霹靂,18049.0,-0.8025,0.0454,0.9594,,,,,66000.0,46100.0,86000.0,1.8655097613882863,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\8450.csv
revenue_202604_8923,2026-04,2026-05-10,after_close,2026-05-11,,otc,8923,時報,36697.0,0.31170000000000003,0.40869999999999995,-0.0669,,,,,800.0,1650.0,4000.0,2.4242424242424243,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\8923.csv
revenue_202604_9949,2026-04,2026-05-10,after_close,2026-05-11,24.3,otc,9949,琉園,11174.0,0.2487,0.2657,0.0227,-2900.0,0.0,0.0,-2900.0,39600.0,228300.0,64000.0,0.2803328953131844,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\9949.csv
revenue_202604_1240,2026-04,2026-05-10,after_close,2026-05-11,59.3,otc,1240,茂生農經,236451.0,-0.1188,0.1159,0.0344,-2000.0,0.0,0.0,-2000.0,27600.0,25050.0,35000.0,1.3972055888223553,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1240.csv
revenue_202604_4171,2026-04,2026-05-10,after_close,2026-05-11,18.65,otc,4171,瑞基,20189.0,-0.0641,0.04650000000000001,0.009899999999999999,2000.0,0.0,4.0,2004.0,131200.0,197050.0,116000.0,0.5886830753615834,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\4171.csv
