parameter_id,revenue_month,stock_id,company_name,announcement_date,buy_date,buy_price,exit_date,exit_price,exit_reason,exit_status,allocation_amount,return_pct,pnl_amount,mom_pct,yoy_pct,institutional_total_net_buy_shares,avg_volume_5d,previous_volume_ratio_20d
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-03,3067,全域,2026-04-10,2026-04-13,21.1,2026-04-15,18.99,stop_loss,final,200000.0,-0.1,-20000.0,8.237,4.1391,1000.0,12400.0,13.478260869565217
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-03,8942,森鉅,2026-04-10,2026-04-13,42.85,2026-04-30,42.5,month_end,final,200000.0,-0.008168,-1633.61,1.2628,-0.319,428000.0,719000.0,4.314606741573034
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-03,4991,環宇-KY,2026-04-10,2026-04-13,567.0,2026-04-30,676.0,month_end,final,200000.0,0.19224,38447.97,1.1519,0.3997,133723.0,1150800.0,0.15473414891852008
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-03,6494,九齊,2026-04-10,2026-04-13,52.8,2026-04-30,53.2,month_end,final,200000.0,0.007576,1515.15,1.063,0.3937,148084.0,308400.0,2.604456824512535
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-03,6227,茂綸,2026-04-10,2026-04-13,98.0,2026-04-27,88.2,stop_loss,final,200000.0,-0.1,-20000.0,1.0586,0.6758,264286.0,1205400.0,2.1221437474034066
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-04,6020,大展證,2026-05-10,2026-05-11,21.45,2026-05-29,24.1,month_end,final,200000.0,0.123543,24708.62,23.9111,23.3831,113000.0,190600.0,13.785123966942148
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-04,6016,康和證,2026-05-10,2026-05-11,23.6,2026-05-29,29.6,month_end,final,200000.0,0.254237,50847.46,20.5735,11.2728,-1398000.0,10162600.0,1.0677925536811228
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-04,8291,尚茂,2026-05-10,2026-05-11,38.9,2026-05-29,120.0,month_end,final,200000.0,2.084833,416966.58,0.7864,3.4526999999999997,,153000.0,2.846299810246679
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-04,6237,驊訊,2026-05-10,2026-05-11,45.6,2026-05-29,50.3,month_end,final,200000.0,0.10307,20614.04,0.7839,1.1612,421826.0,525200.0,2.9638671875
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-04,3219,倚強科,2026-05-10,2026-05-11,75.0,2026-05-29,82.9,month_end,final,200000.0,0.105333,21066.67,0.6376,0.30260000000000004,47788.0,529000.0,2.101874209497528
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-05,2530,華建,2026-06-10,2026-06-11,20.35,2026-06-18,20.0,month_end,as_of_latest,200000.0,-0.017199,-3439.8,23.5287,-0.9940000000000001,265000.0,1362989.4,1.6837971751425937
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-05,5522,遠雄,2026-06-10,2026-06-11,83.8,2026-06-17,75.42,stop_loss,final,200000.0,-0.1,-20000.0,1.8222999999999998,1.9163999999999999,985912.0,2089351.6,2.758955384226782
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-05,3147,大綜,2026-06-10,2026-06-11,352.0,2026-06-11,316.8,stop_loss,final,200000.0,-0.1,-20000.0,1.7653,8.124400000000001,265810.0,2221400.0,1.7315279770444763
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-05,2537,聯上發,2026-06-10,2026-06-11,11.3,2026-06-18,12.0,month_end,as_of_latest,200000.0,0.061947,12389.38,1.4591,1.2848,-614536.0,2969787.6,4.003316107693448
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-05,3285,微端,2026-06-10,2026-06-11,37.65,2026-06-18,51.2,month_end,as_of_latest,200000.0,0.359894,71978.75,0.9354,2.1675,20391.0,188600.0,4.7749510763209395
