combo,trades,months,win_rate,avg_return_pct,median_return_pct,monthly_avg_return_pct,hit_goal
"breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_240d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_240d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_240d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_240d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_60d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_240d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_240d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",25,5,0.72,0.111575,0.056962,0.174907,False
"avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",25,5,0.72,0.111575,0.056962,0.174907,False
"avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.111575,0.056962,0.174907,False
"avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.111575,0.056962,0.174907,False
