tune_index,threshold,chip_weight,tech_weight,fundamental_weight,trades,months,min_trades_per_month,win_rate,avg_return_pct,monthly_avg_return_pct,objective
2,12.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,12.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,13.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,13.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,14.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,14.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,15.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,15.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,16.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,16.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,17.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,17.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,18.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,18.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,19.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,19.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,20.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,20.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,21.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,21.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,22.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,22.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
1,0.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,0.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,1.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,1.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,2.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,2.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,3.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,3.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,4.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,4.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,5.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,5.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,6.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,6.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,7.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,7.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,8.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,8.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,9.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,9.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,10.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,10.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,11.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,11.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,12.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,12.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,13.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,13.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,14.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,14.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,15.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,15.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,16.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,16.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,17.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,17.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,18.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,18.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,19.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,19.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,20.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,20.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,21.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,21.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
